Februar;;;;;
Samstag;31.08.2024;;Tag der offenen Tür Kinderhospiz Mitteldeutschland;Kinderhospiz, Talsperrstr. 25-27;Kinderhospiz Mitteldeutschland, (Ansprechpartner Fr. Neumann)
;;;;;036252 3310
September;;;;;
Samstag;07.09.2024;;Stadt- und Vereinsmeisterschaften im Tennis;Barrierefreie Tennisanlage;Tennis Club Tambach-Dietharz
;;;;Apfelstädter Straße ;1998 e.V. 
;;;;;Herr Börner
;;;;;Tel.:  036252 32091
Sonntag;08.09.2024;;Tag des offenen Denkmals;evtl. Sonderführung Sägewerk und Museum;
Freitag;13.09.2024;19.00 Uhr;Wasserhistorischer Vortrag zum Welttag des Wassers: Thüringen im Klimawandel“;Bürgerhaus/Saal, Burgstallstraße 31a;FöV AGWA e.V., Herr Spanknebel
;;;Film und Vortrag von Dr. M. Deutsch;;Tel. 03681 3546-264
;;;;;
;;;;;
Samstag;14.09.2024;ab 12.00 Uhr;„Tag der offenen Tür“ bei der Feuerwehr mit Gaudi –Wettkampf und der legendären „Erbsensuppe“ aus der Gulaschkanone;Im Feuerwehrgebäude, Bahnhofstraße ;Feuerwehrverein Tambach-Dietharz e.V.,
;;ab 20.00 Uhr;Tanzabend für Jung und Alt;;Herr Kolitsch, Tel. 036252 46766
Samstag oder Sonntag;14.09.2024 oder 15.09.;;Dorftafel, Saisonabschluss Her(r)bergskirche;Lutherkirche am Markt;Ev.-Luth. Kirchgemeinde
;;;;;Pfarrer Lars Reinhardt 
;;;;;Tel. 036252 36223
Sonntag;15.09.2024;9-12 Uhr ;Schießen auf Liborius Gollhardt Pokale;Schützenhaus, ;"Schützencompagnie 1350 e.V. ""Sebastians-Bruderschaft"" T.-D. "
;;;KK Gewehr ;Apfelstädter Straße;Marco Schütz, Tel. 036252 40841
Sonntag;15.09.2024;;Tag des Geotops;Führungen Saurierpfad?;
;;;;;
Freitag;20.09.2024;;Tag der offenen Tür und Kinderfest;Schützenhaus,;"Schützencompagnie 1350 e.V. ""Sebastians-Bruderschaft"" T.-D."
;;;;Apfelstädter Straße; Marco Schütz, Tel. 036252 40841
Samstag;28.09.2024;10.00 Uhr;Finaltag Einzel- und Doppel im Tennis;Barrierefreie Tennisanlage;Tennis Club Tambach-Dietharz
;;;;Apfelstädter Straße ;1998 e.V. 
;;;;;Herr Börner
;;;;;Tel.:  036252 32091
Sonntag;29.09.2024;9-10 Uhr;Schießen auf den Pokal der deutschen Einheit, Luftgewehr;Schützenhaus, ;"Schützencompagnie 1350 e.V. ""Sebastians-Bruderschaft"" T.-D."
;;;;Apfelstädter Straße; Marco Schütz, Tel. 036252 40841
;;;;;
Sonntag;29.09.2024;10.30 Uhr;Erntedankfest ;Bergkirche;Ev.-Luth. Kirchgemeinde
;;;;;Pfarrer Lars Reinhardt 
;;;;;Tel. 036252 36223
Oktober;;;;;
Sonntag;27.10.2024;9-12 Uhr;Hubertusschießen;Schießen auf den Pokal der deutschen Einheit, Luftgewehr;Schießen auf den Pokal der deutschen Einheit, Luftgewehr
;;;KK-Gewehr;;
Mittwoch;30.10.2024;15.00 Uhr;Kinderparty Halloween;Gelände vorm Bürgerhaus, Burgstallstraße 31a;Stadt Tambach-Dietharz, Tourist-Information, 036252 34428
;;20.00 Uhr;Halloweenparty;;
;;;;;
Donnerstag;31.10.2024;14.00 Uhr;Reformationsgedenken und Jubelkonfirmation ;Lutherkirche am Markt;Ev.-Luth. Kirchgemeinde,
;;;;;Pfarrer Lars Reinhardt
;;;;;Tel. 036252 36223
November;;;;;
Freitag;08.11.2024;15 – 19 Uhr ;Blutspende;Bürgerhaus, Burgstallstr. 31a;DRK-Kreisverband Gotha e.V. Bergwacht Tambach-Dietharz, Oststr.31,
;;;;; 99867 Gotha
Samstag;09.11.2024;17.00 Uhr;Sankt Martins Umzug mit anschließendem Martinsspiel (17.30 Uhr), für Verpflegung ist wie immer gesorgt!;von der Bergkirche zur Lutherkirche;Ev.-Luth. Kirchgemeinde
;;;;;Pfarrer Lars Reinhardt
;;;;;Tel. 036252 36223
Montag;11.11.2024;11.11 Uhr;Rathaussturm und Schlüsselübernahme - Beginn der 5. Jahreszeit;Bürgerhaus/Saal, Burgstallstraße 31a ;Tambacher Faschingsclub
;;;;;Jens Arnold, Tel. 036252 36462
Samstag;16.11.2024;20.11 Uhr;Faschingseröffnung 57. Saison;Bürgerhaus/Saal, Burgstallstraße 31a;Tambacher Faschingsclub
;;;23.11 Uhr – Vorstellung des neuen Prinzenpaares;;Jens Arnold, Tel. 036252 36462
;;;Karten an der Abendkasse;;
Sonntag;17.11.2024;14.00 Uhr;Volkstrauertag mit;Lutherkirche am Markt;Stadt Tambach-Dietharz und Ev. Kirchgemeinde
;;;feierlicher Kranzniederlegung;;
Sonntag;24.11.2024;10.30 Uhr;Ewigkeitssonntag;Lutherkirche am Markt;Ev.-Luth. Kirchgemeinde
;;;;;Pfarrer Lars Reinhardt
;;;;;Tel. 036252 36223
Samstag;30.11.2024;15.00 Uhr;Pyramidenanschieben & Weihnachtsmarkt;Schützenstraße, Schützenplatz;Stadt Tambach-Dietharz
;;;;;Tel. 036252 34428
Dezember;;;;;
;;;;;
Sonntag;01.12.2024;;Weihnachtsmarkt im Kinderhospiz;Kinderhospiz, Talsperrstr. 25-27;Kinderhospiz Mitteldeutschland, (Ansprechpartner Fr. Neumann)
;;;;;036252 3310
Sonntag;01.12.2024;16.00 Uhr;Adventssingen;Heimatmuseum, Ecke Waldstraße;Stadt Tambach-Dietharz
;;;;;Tel. 036252 34428
Samstag;07.12.2024;;Apres Ski Party;Vorplatz Bürgerhaus, Burgstallstraße 31a;Eventverein
;;;;;Moritz Tanz, Kirchstr. 32, T.-D.
;;;;;
Sonntag;08.12.2024;15.00 Uhr;Senioren-Weihnachtsfeier mit und abwechslungsreichem bunten Programm;Bürgerhaus/Saal, ;Stadt Tambach-Dietharz
;;;;Burgstallstraße 31a;Tel. 036252 34428
Sonntag;08.12.2024;16.00 Uhr;Adventssingen;Heimatmuseum, Ecke Waldstraße;Stadt Tambach-Dietharz
;;;;;Tel. 036252 34428
;;;;;
Samstag;14.12.2024;15.00 Uhr;Waldweihnacht am Nesselberg;Herzoghäuschen am Nesselberg;Traditionsverein „Herzogshäuschen am Nesselberg“
;;;Für das leibliche Wohl ist ebenfalls bestens gesorgt!  ;;Hendrik Schlupp, 1. Vorsitzender
;;;;;Tel.: 0172 3676477
Sonntag;15.12.2024;9.00–12.00 Uhr;Weihnachtsgansschießen auf den Pfahl, KK Gewehr (Holzgans);Schützenhaus, Apfelstädter Straße;"Schützencompagnie 1350 e.V. ""Sebastians-Bruderschaft"" T.-D., "
;;;;;Marco Schütz, Tel. 036252 40841
Sonntag;15.12.2024;16.00 Uhr;Adventssingen;Heimatmuseum, Ecke Waldstraße;Stadt Tambach-Dietharz
;;;;;Tel. 036252 34428
;;;;;
Sonntag;22.12.2024;16.00 Uhr;Adventssingen;Heimatmuseum, Ecke Waldstraße;Stadt Tambach-Dietharz,
;;;;;Tel. 036252 34428
Montag;23.12.2024;15-21 Uhr;„Weihnachtsvorfreude“ ;Outdoor Eventzentrum im ehemaligen Landwarenhaus Schmalkalderstr. 42 ;Julia Kraft
;;;im ehemaligen Warenhaus bei Glühwein und Apfelpunsch mit besinnlichen Liedern zur stillen Jahreszeit ;;Outdoorerlebnisse 
;;;;;Tel.: 0151 512360
Dienstag;24.12.2024;16.30 Uhr;Heilig Abend Gottesdienst;Lutherkirche am Markt;Ev.-Luth. Kirchgemeinde,
;;;;;Pfarrer Lars Reinhardt
;;22.00 Uhr;Musikalische Christnacht;Bergkirche, Kirchstraße;Tel. 036252 36223
Montag;30.12.2024;15.30 Uhr;Mystische Rauhnächte - der „Wilden Jagd“ auf der Spur! Wanderung zur Köhlerhütte mit Geschichten zu Brauchtum und Sagen zu den 12 magischen Nächten.;Treffpunkt Sportplatz;Stadt Tambach-Dietharz
;;;Bitte Taschenlämpchen mitbringen und auf entsprechende Kleidung achten! ;Apfelstädter Straße;Tel.: 036252 34428
;;;……………Euro incl. magischen Trank an der Köhlerhütte;;
;;;Um Voranmeldung wird gebeten!;;NHP A. Schilling
;;;;;Oberhofer Straße 13
;;;;;99897 Tambach-Dietharz
;;;;;Tel.: 036252 46058
;;;;;ASLotus@gmx.de
;;;;;
;;;;;
;;;;;
Dienstag;31.12.2024;15.30 Uhr;Silvestergottesdienst;Lutherkirche am Markt;Ev.-Luth. Kirchgemeinde
;;;;;Pfarrer Lars Reinhardt
;;;;;Tel. 036252 36223
